--------- beginning of main
01-22 14:12:44.909 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187964, state connected, tech 4G, cid 120762902, pcid 343, rsrp -102, rsrq -8, 
01-22 14:12:45.919 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187965, state connected, tech 4G, cid 120762902, pcid 343, rsrp -102, rsrq -8, 
01-22 14:12:47.328 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187966, state connected, tech 4G, cid 120762902, pcid 343, rsrp -101, rsrq -14, 
01-22 14:12:48.336 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187968, state connected, tech 4G, cid 120762902, pcid 343, rsrp -101, rsrq -14, 
01-22 14:12:49.684 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187969, state connected, tech 4G, cid 120762902, pcid 343, rsrp -101, rsrq -16, 
01-22 14:12:50.692 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187970, state connected, tech 4G, cid 120762902, pcid 343, rsrp -101, rsrq -16, 
01-22 14:12:52.079 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187971, state connected, tech 4G, cid 120762902, pcid 343, rsrp -100, rsrq -10, 
01-22 14:12:53.088 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187973, state connected, tech 4G, cid 120762902, pcid 343, rsrp -100, rsrq -10, 
01-22 14:12:54.414 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187974, state connected, tech 4G, cid 120762902, pcid 343, rsrp -100, rsrq -14, 
01-22 14:12:55.423 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187975, state connected, tech 4G, cid 120762902, pcid 343, rsrp -100, rsrq -14, 
01-22 14:12:56.796 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187976, state connected, tech 4G, cid 120762902, pcid 343, rsrp -100, rsrq -15, 
01-22 14:12:57.804 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187977, state connected, tech 4G, cid 120762902, pcid 343, rsrp -100, rsrq -15, 
01-22 14:12:59.154 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187978, state connected, tech 4G, cid 120762902, pcid 343, rsrp -101, rsrq -19, 
01-22 14:13:00.163 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187980, state connected, tech 4G, cid 120762902, pcid 343, rsrp -101, rsrq -19, 
01-22 14:13:01.530 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187981, state connected, tech 4G, cid 120762902, pcid 343, rsrp -100, rsrq -9, 
01-22 14:13:02.539 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187982, state connected, tech 4G, cid 120762902, pcid 343, rsrp -100, rsrq -9, 
01-22 14:13:03.861 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187983, state connected, tech 4G, cid 120762902, pcid 343, rsrp -101, rsrq -10, 
01-22 14:13:04.869 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187984, state connected, tech 4G, cid 120762902, pcid 343, rsrp -101, rsrq -10, 
01-22 14:13:06.241 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187985, state connected, tech 4G, cid 120762902, pcid 343, rsrp -100, rsrq -15, 
01-22 14:13:07.251 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187987, state connected, tech 4G, cid 120762902, pcid 343, rsrp -100, rsrq -15, 
01-22 14:13:08.615 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187988, state connected, tech 4G, cid 120762902, pcid 343, rsrp -119, rsrq -20, 
01-22 14:13:09.623 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187989, state connected, tech 4G, cid 120762902, pcid 343, rsrp -119, rsrq -20, 
01-22 14:13:10.937 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187990, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:13:11.949 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187991, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:13:13.286 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187992, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:13:14.295 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187994, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:13:15.670 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187995, state connected, tech 4G, cid 120762895, pcid 343, rsrp -115, rsrq -20, 
01-22 14:13:16.684 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187996, state connected, tech 4G, cid 120762895, pcid 343, rsrp -115, rsrq -20, 
01-22 14:13:18.054 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187997, state connected, tech 4G, cid 120762895, pcid 343, rsrp -115, rsrq -20, 
01-22 14:13:19.063 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548187999, state connected, tech 4G, cid 120762895, pcid 343, rsrp -115, rsrq -20, 
01-22 14:13:20.493 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188000, state connected, tech 4G, cid 120762895, pcid 343, rsrp -117, rsrq -20, 
01-22 14:13:21.502 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188001, state connected, tech 4G, cid 120762895, pcid 343, rsrp -117, rsrq -20, 
01-22 14:13:23.016 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188002, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:13:24.027 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188004, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
